tank,round,sex,pre_or_post,color,fishID,sample_number,CORT,T
cooper,4,male,pre,blue,round4maleblue,#82,10.86267933,14.4
harry,7,male,pre,blue,round7maleblue,#83,25.63758626,31.9
cooper,2,male,pre,purple,round2malepurple,#84,29.10679791,35.1
cooper,8,male,pre,black,round8maleblack,#85,72.65306998,63.8
harry,1,male,post,white,round1malewhite,#86,107.6158486,56.5
audrey,3,male,pre,green,round3malegreen,#87,83.51667483,98.6
cooper,4,male,post,green,round4malegreen,#88,233.5515105,245.9
cooper,8,male,post,yellow,round8maleyellow,#89,91.41341119,810.4
harry,1,male,pre,purple,round1malepurple,#90,107.8400992,41.6
cooper,2,male,pre,white,round2malewhite,#91,2920.900057,38
